TICKER,NAME,JUST_IND,Bloomberg Ticker,ISIN,ROIC,Beta,Risk,PE,Price to Book,Earnings per Share,Revenue Growth,Market Cap,Beat the Street,Portfolio Weight,Trailing 12 month Total Return,Dividend,ROE,WGTSCORE,RANK
ACN,Accenture,Commercial Support Services,ACN,IE00B4BNMY34,46.14574647,1.00553143,#N/A N/A,24.61864336,10.30745277,5.56,5.655026641,1.049E+11,0.135547272,#N/A,31.59402,2.42,52.47583896,66.96,6
ADBE,Adobe Systems,Software,ADBE,US00724F1012,19.08004039,1.022420049,#N/A N/A,63.97030309,13.74215058,3.43,24.71760701,1.18577E+11,2.20535926,#N/A,76.81101,0,11.04546805,63.23,11
ADI,Analog Devices,Semiconductors & Equipment,ADI,US0326541051,7.040479758,1.157101274,#N/A N/A,23.14292152,3.318582809,2.09,49.28069108,34339961275,2.230885857,#N/A,20.0367,1.77,16.56506964,59.31,42
ADM,Archer-Daniels-Midland,"Food, Beverage & Tobacco",ADM,US0394831020,5.474967037,0.691248238,#N/A N/A,17.43113956,1.315136122,2.8,-2.434799346,24643247033,5.012964564,#N/A,7.477176,1.28,8.60996774,49.11,536
ADNT,Adient,Automobiles & Parts,ADNT,IE00BD845X29,2.030948838,#N/A N/A,#N/A N/A,11.36794256,1.283870216,9.38,-3.436569387,5224067837,-0.362318841,#N/A,-20.51766,0.825,#N/A N/A,46.56,705
ADP,Automatic Data Processing,Commercial Support Services,ADP,US0530151036,27.75492242,0.984136283,#N/A N/A,31.33041651,13.99030954,3.87,6.102264351,56219458989,-0.564364418,#N/A,34.96056,2.24,26.65303917,52.14,281
ADS,Alliance Data Systems,Commercial Support Services,ADS,US0185811082,15.47501416,1.196178079,#N/A N/A,15.50078816,5.730525962,14.17,8.143623653,11448358957,6.906077348,#N/A,-19.35512,2.08,41.32320284,53.95,197
ADSK,Autodesk,Software,ADSK,US0527691069,-29.31557967,1.273984075,#N/A N/A,#N/A N/A,#N/A N/A,-2.58,1.260462826,29936852286,4.95049505,#N/A,42.59936,0,#N/A N/A,58.79,57
AEE,Ameren,Utilities,AEE,US0236081024,4.343768739,0.494124264,#N/A N/A,18.61150511,1.902640705,2.16,1.662277814,13699622000,1.143674053,#N/A,6.997676,1.778,8.945196695,45.17,777
AEP,American Electric Power,Utilities,AEP,US0255371017,5.537714146,0.588166118,#N/A N/A,18.32024954,1.782598322,3.89,-5.83146623,32979371551,1.741774952,#N/A,2.918116,2.39,10.20638173,47.02,680
AES,AES Corp,Utilities,AES,US00130H1059,-11.84001372,0.709478557,#N/A N/A,9.765275093,2.542514362,-1.76,2.421943391,8118681968,6.194690265,#N/A,10.7796,0.49,15.12406667,46.41,712
AET,Aetna,Health Care Providers,AET,US00817Y1082,15.09815052,0.87036711,#N/A N/A,16.7895152,3.420806244,5.71,-4.148523474,56094379000,0.81799591,#N/A,21.33842,2,17.09465215,50.25,429
AFG,American Financial Group,Insurance,AFG,US0259321042,8.183993854,0.892692447,#N/A N/A,15.71361527,1.910526002,5.4,5.647891659,9908272972,8.695652174,#N/A,18.87688,8.2875,9.804378807,48.48,585
AFL,Aflac,Insurance,AFL,US0010551028,9.292525166,0.914298356,#N/A N/A,12.52065173,1.450451898,5.815,-3.954075979,35154925922,0.859004739,#N/A,24.73591,0.87,15.64424317,51.72,308
AGCO,AGCO,Commercial Vehicles & Machinery,AGCO,US0010841023,5.781551309,1.131173968,#N/A N/A,19.11315247,1.685904241,2.34,12.09095203,5147815921,-0.62520566,#N/A,1.400156,0.56,10.43734524,50.41,414
AGIO,Agios Pharmaceuticals,Pharmaceuticals & Biotech,AGIO,US00847X1046,-58.86825795,1.519638777,#N/A N/A,#N/A N/A,5.673764584,-6.75,-38.46076804,4922976371,-2.739726027,#N/A,65.47111,0,#N/A N/A,54.63,171
AGN,Allergan,Pharmaceuticals & Biotech,AGN,IE00BY9D5467,0.258147339,1.186325192,#N/A N/A,213.2694105,0.712890905,-13.19,9.40318175,51571577667,0.53495665,#N/A,-32.79303,2.8,1.577368566,51.2,353
AGO,Assured Guaranty,Insurance,AGO,BMG0585R1060,2.793914668,0.936339498,#N/A N/A,7.464498553,0.588492683,5.96,3.697078116,3945013002,7.277414238,#N/A,-8.713156,0.57,11.21538372,50.72,391
AGR,Avangrid,Utilities,AGR,US05351W1036,2.912532476,0.634492278,#N/A N/A,27.34059054,1.066960558,1.23,-0.913924892,16182606095,-1.034637877,#N/A,23.76615,1.728,#N/A N/A,45.48,761
AHL,Aspen Insurance Holdings,Insurance,AHL,BMG053841059,10.50299768,0.812570453,#N/A N/A,#N/A N/A,1.097401297,-5.22,-6.945662469,2572528121,6.125356125,#N/A,-12.55828,0.94,3.874836799,48.34,592
AIG,American International Group,Insurance,AIG,US0268747849,1.409252454,0.976357877,#N/A N/A,25.07361926,0.755192164,-6.54,-5.436629939,47420123862,-6.061822561,#N/A,-12.07755,1.28,3.595351435,55.25,145
AIZ,Assurant,Insurance,AIZ,US04621X1081,4.98799156,0.932093799,#N/A N/A,14.88330061,1.093612091,9.45,-14.82757064,4606157352,7.364445643,#N/A,-13.71924,2.15,9.905402037,50.05,449
AJG,Arthur J Gallagher,Insurance,AJG,US3635761097,11.23293437,1.089992046,#N/A N/A,16.31489575,2.788817146,2.57,10.0950883,12602355220,2.409638554,#N/A,27.835,1.56,14.26951321,51.59,324
AKAM,Akamai Technologies,Internet,AKAM,US00971T1016,4.824937111,0.889723539,#N/A N/A,45.13653224,3.866505129,1.27,6.963401194,13099291432,2.423768569,#N/A,54.002,0,10.96035614,59.71,39
AKRX,Akorn,Pharmaceuticals & Biotech,AKRX,US0097281069,-3.823764011,1.065611124,#N/A N/A,#N/A N/A,2.098677857,-0.2,-24.69442885,1701011992,-93.62831858,#N/A,-59.14561,0,21.15003475,39.66,865
AL,Air Lease,Transportation,AL,US00912X3026,7.261190191,1.178645134,#N/A N/A,12.25907001,1.123849144,7.33,6.858437481,4653253304,5.73580533,#N/A,29.30248,0.325,10.01452737,47.96,619
ALB,Albemarle,Chemicals,ALB,US0126531013,2.894271032,1.122320414,#N/A N/A,20.71762184,2.876506617,0.49,14.7457253,10932332479,2.776533811,#N/A,-9.802037,1.28,16.67533801,55.47,139
ALGN,Align Technology,Health Care Equipment & Services,ALGN,US0162551016,22.88004967,1.442642212,#N/A N/A,65.95635643,19.77511825,2.89,36.44304799,22297229378,5.994550409,#N/A,103.0472,0,21.86848509,50.14,440
ALK,Alaska Air,Transportation,ALK,US0116591092,16.22618297,0.804540336,#N/A N/A,10.75521259,2.170732643,8.39,33.75484741,7459624815,0.241545894,#N/A,-26.03063,1.2,29.2965913,52.93,237
ALKS,Alkermes,Pharmaceuticals & Biotech,ALKS,IE00B56GVS15,-9.803431062,1.44563663,#N/A N/A,#N/A N/A,6.227563635,-1.03,21.14540281,7199957754,117.9487179,#N/A,-19.54262,0,-9.97773591,47.4,659
ALL,Allstate,Insurance,ALL,US0200021014,3.984590961,0.885645807,#N/A N/A,11.48207971,1.61909561,8.49,5.446980895,33785105859,9.766072305,#N/A,15.95936,1.48,13.20678171,53.67,210
ALLE,Allegion,Industrial Goods,ALLE,IE00BFRT3W74,17.90650431,1.098171115,#N/A N/A,20.25558054,16.08541648,2.87,7.605004468,7331814656,4.678826328,#N/A,1.336954,0.64,#N/A N/A,49.81,474
ALLY,Ally Financial,Consumer & Diversified Finance,ALLY,US02005N1000,2.942246348,1.2221843,#N/A N/A,11.35070487,0.904443653,2.05,0.315200813,11759130864,4.230266027,#N/A,42.9467,0.4,1.390063433,45.59,755
ALNY,Alnylam Pharmaceuticals,Pharmaceuticals & Biotech,ALNY,US02043Q1076,-38.77023516,1.976093411,#N/A N/A,#N/A N/A,5.64000496,-5.42,90.65713862,9902462708,-3.773584906,#N/A,76.85817,0,-33.51397217,51.15,356
ALSN,Allison Transmission Holdings,Commercial Vehicles & Machinery,ALSN,US01973R1014,21.02771806,0.969984233,#N/A N/A,13.18660773,8.155032193,3.38,22.93478261,5754889525,-18.02807913,#N/A,10.16559,0.6,22.61863233,50.26,427
ALXN,Alexion Pharmaceuticals,Pharmaceuticals & Biotech,ALXN,US0153511094,4.153564276,1.348559141,#N/A N/A,27.44898722,2.840856679,1.98,15.14218086,25887952140,3.423932227,#N/A,-3.803226,0,12.76186029,47.39,661
AMAT,Applied Materials,Semiconductors & Equipment,AMAT,US0382221051,24.55648056,1.346073747,#N/A N/A,15.03063847,6.821419967,3.2,34.29099307,58075070518,0.681536555,#N/A,29.93238,0.2,21.26872881,61.52,18
AMCX,AMC Networks,Media,AMCX,US00164V1035,16.04426053,0.699372113,#N/A N/A,7.86208339,26.16906389,7.26,1.815794,3392907922,3.279147982,#N/A,5.434983,0,#N/A N/A,49.35,517
AMD,Advanced Micro Devices Inc,Semiconductors & Equipment,AMD,US0079031078,15.20441573,1.495227337,#N/A N/A,68.24805673,16.43911904,0.04,24.74250936,11758142574,25,#N/A,12.41891,0,#N/A N/A,57.17,89
AME,AMETEK,Industrial Goods,AME,US0311001004,13.48263232,1.084583163,#N/A N/A,26.63424894,4.100720392,2.96,11.98105668,17241057220,1.123595506,#N/A,24.91326,0.36,17.76951315,45.93,739
AMG,Affiliated Managers Group,Capital Markets,AMG,US0082521081,10.34643743,1.282002449,#N/A N/A,17.64948067,2.629238422,12.3,5.030529481,8976121028,0.752191015,#N/A,7.912882,0.8,16.38530422,49.09,539
AMGN,Amgen,Pharmaceuticals & Biotech,AMGN,US0311621009,4.202171307,1.325984716,#N/A N/A,14.03933959,7.271738341,2.71,-0.617632987,1.12814E+11,-0.968275211,#N/A,9.198551,4.6,26.29346152,53.08,232
AMP,Ameriprise Financial,Capital Markets,AMP,US03076C1062,14.64825773,1.498301387,#N/A N/A,10.09923176,3.384837652,9.6,2.897315722,19712171041,3.437815976,#N/A,8.019397,3.24,22.55417062,51.45,331
AMT,American Tower,Real Estate,AMT,US03027X1000,6.3070612,0.728729367,#N/A N/A,52.56070307,9.757434434,2.69,15.17943995,61814722263,-3.04898938,#N/A,12.36104,2.62,19.36760864,50.37,416
AMTD,TD Ameritrade,Capital Markets,AMTD,US87236Y1082,8.931899884,1.125916958,#N/A N/A,29.73474917,4.580792672,1.65,10.48993087,34784747649,7.854630715,#N/A,62.12806,0.72,15.76390135,49.22,525
AMZN,Amazon.com,Retail,AMZN,US0231351067,7.069321492,1.049100995,#N/A N/A,253.477803,24.75594759,6.32,30.79632612,7.80924E+11,-13.59090521,#N/A,69.58639,0,6.197857704,58.83,55
AN,AutoNation,Retail,AN,US05329W1027,6.623043874,1.202184439,#N/A N/A,11.8435358,1.70473877,4.44,-0.344300986,4191533809,1.57291389,#N/A,14.83325,0,18.52170096,48.31,595
ANAT,American National Insurance,Insurance,ANAT,US0285911055,7.365353571,0.929043889,#N/A N/A,17.04263731,0.614220958,18.35,5.670749029,3217112827,#N/A N/A,#N/A,4.707777,3.28,5.188078252,44.46,802
ANDV,Andeavor,Oil & Gas,ANDV,US03349M1053,11.72984266,0.817796648,#N/A N/A,22.62106588,2.209709177,10.91,42.27890326,21282579563,-3.323404922,#N/A,73.7458,2.28,17.61000319,52.99,234
ANET,Arista Networks,Internet,ANET,US0404131064,31.05729396,0.860460937,#N/A N/A,40.41598573,10.49811643,5.85,45.787647,19383243006,5.590062112,#N/A,79.16454,0,29.64637091,52.39,268
ANSS,ANSYS,Software,ANSS,US03662Q1058,11.97578635,1.060243964,#N/A N/A,47.88479956,5.993597732,3.05,10.80311392,14420655910,1.058467742,#N/A,42.40086,0,12.09421862,52.04,290
ANTM,Anthem,Health Care Providers,ANTM,US0367521038,10.81921348,0.984728038,#N/A N/A,17.77831744,2.132535136,14.69522,6.099713656,57527017415,0.526008182,#N/A,26.83779,2.7,11.42179164,52.13,283
AON,Aon,Insurance,AON,GB00B5BT0K07,7.727569642,0.936185598,#N/A N/A,24.89032345,6.650604735,4.74,6.259963864,35156009694,3.358380616,#N/A,17.08259,1.41,20.0610971,51.78,302
AOS,AO Smith,Building Materials & Packaging,AOS,US8318652091,14.9173132,1.206987977,#N/A N/A,28.13627221,7.145953164,1.72,11.57154027,10955663836,1.830126701,#N/A,19.00355,0.56,19.11454866,51.26,349
APA,Apache,Oil & Gas,APA,US0374111054,10.11993328,0.928751767,#N/A N/A,92.44248739,2.126206598,3.42,9.357489727,15951120148,126.4150943,#N/A,-16.66353,1,0.838072583,48.84,560
APC,Anadarko Petroleum,Oil & Gas,APC,US0325111070,3.72997696,0.782750905,#N/A N/A,#N/A N/A,3.950608212,-0.85,46.72977625,35298997910,3.685503686,#N/A,32.56982,0.2,-2.090726374,49.75,478
APD,Air Products & Chemicals,Chemicals,APD,US0091581068,5.833211621,0.952866316,#N/A N/A,24.04706833,1.600404485,13.76,9.114170343,36366418969,1.267854277,#N/A,17.16246,3.71,16.22336092,56.85,98
APH,Amphenol,Industrial Goods,APH,US0320951017,10.4171099,0.975202262,#N/A N/A,25.24351176,6.713676643,2.13,11.53124205,26218887798,-3.015231582,#N/A,20.21192,0.7,25.19920801,50.47,408
APTV,Aptiv,Automobiles & Parts,APTV,JE00B783TY65,19.55077231,1.171753168,#N/A N/A,16.97829,7.330877119,5.07,4.969854978,25401948413,-1.819720694,#N/A,31.88927,1.38,51.81194641,51.57,325
AR,Antero Resources,Oil & Gas,AR,US03674X1063,5.469927796,0.950046062,#N/A N/A,49.174615,0.731617493,1.949966,2.16395915,5995449254,28.90625,#N/A,-11.41049,0,1.318737981,55.8,127
ARMK,Aramark,Restaurants & Leisure,ARMK,US03852U1060,7.649244887,0.930987835,#N/A N/A,22.89406423,3.336627894,1.53,1.308166183,9331455872,-1.070882203,#N/A,2.598529,0.412,15.63540562,48.66,575
ARNC,Arconic,Basic Resources,ARNC,US03965L1008,0.36021758,#N/A N/A,#N/A N/A,15.18612411,1.682411285,-0.279379,4.566725835,8773059457,2.953586498,#N/A,-32.72259,0.24,#N/A N/A,59.69,40
ARRS,ARRIS International,Technology Hardware,ARRS,GB00BZ04Y379,2.985649739,1.185272217,#N/A N/A,19.07548246,1.62089189,0.49,-3.144271339,5112921464,4.897801774,#N/A,-2.625042,0,9.438355281,54.24,184
ARW,Arrow Electronics,Industrial Goods,ARW,US0427351004,7.314261327,1.233607769,#N/A N/A,10.00679698,1.313885598,4.53,12.53815016,6700243589,2.913150014,#N/A,-0.1305979,0,13.14379761,51.43,332
ASB,Associated Banc-Corp,Banks,ASB,US0454871056,2.971617944,1.197172642,#N/A N/A,16.2577156,1.316985727,1.45,6.538855748,4641343853,2.617449664,#N/A,10.01277,0.5,6.795733048,46.67,698
ASH,Ashland,Chemicals,ASH,US0441861046,-8.926958973,0.909806728,#N/A N/A,26.46364805,1.323000704,0.016129,7.982775754,4645055529,15.83001988,#N/A,24.40268,1.23,5.782187907,56.66,101
ATH,Athene Holding,Capital Markets,ATH,BMG0684D1074,5.13648053,#N/A N/A,#N/A N/A,32.13349446,1.071307036,7.412937,112.5943971,8864879650,8.804306036,#N/A,-13.72222,0,0.390631433,42.72,835
ATHN,athenahealth,Software,ATHN,US04685W1036,8.293451349,0.877455652,#N/A N/A,57.88997844,6.238467127,1.33,12.68815218,6073985164,23.26043738,#N/A,37.9497,0,2.104898843,50.62,397
ATO,Atmos Energy,Utilities,ATO,US0495601058,9.475466498,0.629703164,#N/A N/A,22.22308369,2.082022768,3.73,12.42895112,9830332968,-0.083102493,#N/A,11.62923,1.8,10.0440417,50.12,442
ATR,AptarGroup,Building Materials & Packaging,ATR,US0383361039,10.70711524,0.945335627,#N/A N/A,25.78539565,4.165281206,3.52,5.935346089,5848774969,3.020334928,#N/A,14.76559,1.28,16.14653584,54.12,188
ATVI,Activision Blizzard,Household Goods & Apparel,ATVI,US00507V1098,2.374707286,1.017270684,#N/A N/A,47.70855618,5.621080618,0.36,6.189467312,55187351045,0.484795064,#N/A,30.22658,0.3,11.89267441,50.48,407
AVGO,Broadcom,Semiconductors & Equipment,AVGO,US11135F1012,20.3293781,0.984873056,#N/A N/A,41.12402077,3.844360816,4.18,33.20241692,99763442117,0.451467269,#N/A,7.327878,4.08,20.17189946,47.98,617
AVT,Avnet,Industrial Goods,AVT,US0538071038,-1.264391005,1.026253223,#N/A N/A,14.12508933,0.978050942,4.13,4.177664632,4819548074,1.983002833,#N/A,10.76942,0.7,10.98152891,50.98,371
AVY,Avery Dennison,Chemicals,AVY,US0536111091,13.34595243,0.948149621,#N/A N/A,19.87612616,8.677948519,3.19,8.663435472,9458038499,1.399310485,#N/A,30.99917,1.76,30.84911006,55.89,124
AWI,Armstrong World Industries,Building Materials & Packaging,AWI,US04247X1028,17.65738115,1.10714829,#N/A N/A,20.94983021,7.558954444,2.89,6.72399379,3031591583,-3.606336367,#N/A,27.53544,0,20.61272468,48.22,605
AWK,American Water Works,Utilities,AWK,US0304201033,4.702284312,0.727163017,#N/A N/A,27.59148806,2.726619842,2.39,1.665657177,14863437189,0.597609562,#N/A,12.55975,1.62,9.36398253,44.13,806
AXP,American Express,Consumer & Diversified Finance,AXP,US0258161092,7.958626634,1.064386964,#N/A N/A,15.51801848,4.451058065,2.98,5.203559708,87335367430,0.290449342,#N/A,30.95981,1.34,26.31516551,55.24,147
AXS,Axis Capital Holdings,Insurance,AXS,BMG0692U1099,12.80315554,0.799824536,#N/A N/A,#N/A N/A,1.073881096,-4.94,14.62776269,4821131966,-0.961538462,#N/A,-7.943876,1.53,6.595901734,45.91,740
AXTA,Axalta Coating Systems,Chemicals,AXTA,BMG0750C1082,2.058156668,0.81286031,#N/A N/A,27.30131536,5.493967409,0.15,6.946514526,7808378874,4.569420035,#N/A,0.9993626,0,#N/A N/A,51.03,367
AYI,Acuity Brands,Building Materials & Packaging,AYI,US00508Y1029,17.17558268,1.192931294,#N/A N/A,14.95588974,2.809288388,7.46,6.495913469,4622684718,1.550294436,#N/A,-41.28485,0.52,18.05764627,46.42,711
AZO,AutoZone,Retail,AZO,US0533321024,38.22973062,0.82387042,#N/A N/A,14.30057247,#N/A N/A,45.05,2.378786266,17772061747,0.403262554,#N/A,-5.343613,0,#N/A N/A,48.27,598
BA,Boeing,Aerospace & Defense,BA,US0970231058,67.99160744,1.004488707,#N/A N/A,25.21357814,164.4236475,13.6,-1.246682387,2.00361E+11,17.9005092,#N/A,91.84283,5.68,319.2172123,55.8,126
BAC,Bank of America,Banks,BAC,US0605051046,2.880975815,1.276695132,#N/A N/A,14.64993851,1.304679539,1.63,7.04874976,3.14016E+11,2.659279778,#N/A,30.37811,0.39,7.173118064,56.57,104
BAH,Booz Allen Hamilton,Commercial Support Services,BAH,US0995021062,14.9627237,0.966208279,#N/A N/A,21.78892326,10.49573902,1.69,7.372647361,5922910694,1.273148148,#N/A,16.47478,0.62,81.99993642,52.54,260
BAX,Baxter International,Health Care Equipment & Services,BAX,US0718131099,7.323199259,0.948696017,#N/A N/A,29.19591641,4.149796,1.32,3.916166486,37687497290,2.099629477,#N/A,26.51239,0.61,9.985765687,56.99,92
BBBY,Bed Bath & Beyond,Retail,BBBY,US0758961009,10.50277126,0.87335968,#N/A N/A,5.499255524,0.826121818,3.05,1.093211006,2383187380,2.365308804,#N/A,-53.85812,0.6,25.00957264,42.59,837
BBT,BB&T Corp,Banks,BBT,US0549371070,5.709425989,1.111070037,#N/A N/A,16.39143866,1.624213189,2.78,5.356214249,42979922523,1.25765882,#N/A,30.73276,1.26,9.690609493,49.48,508
BBY,Best Buy,Retail,BBY,US0865161014,18.00614739,0.920475006,#N/A N/A,17.09870639,6.020154176,3.33,6.974088267,21661524722,9.162756236,#N/A,51.36098,1.36,23.71971272,51.62,322
BC,Brunswick Corp,Household Goods & Apparel,BC,US1170431092,15.75563636,1.126962185,#N/A N/A,15.29050797,3.586443353,1.64,8.572666651,5303980879,1.012723968,#N/A,4.337994,0.685,27.47154161,43.73,816
BDX,Becton Dickinson,Health Care Equipment & Services,BDX,US0758871091,-0.833281668,0.888744116,#N/A N/A,24.18417731,3.22350311,4.7,-3.124248979,60208590607,0.243206091,#N/A,27.14606,2.92,22.77698212,47.54,647
BEN,Franklin Resources,Capital Markets,BEN,US3546131018,4.855334978,1.296316147,#N/A N/A,10.257375,1.7931044,3.01,-3.411906921,17986234483,1.895734597,#N/A,-15.43331,0.8,17.67331658,49.6,497
BERY,Berry Plastics,Building Materials & Packaging,BERY,US08579W1036,9.740793668,1.027715325,#N/A N/A,15.81798374,4.9650468,2.66,9.338881184,6474372000,1.219914276,#N/A,-13.55724,0,#N/A N/A,46.09,730
BF.B,Brown-Forman,"Food, Beverage & Tobacco",BF/B,US1156372096,23.27764616,0.74789083,#N/A N/A,36.23270479,23.06640147,1.376,-3.075428941,27109127282,-1.149425287,#N/A,50.82448,0.564,37.8351876,51.64,319
BFAM,Bright Horizons Family Solutions Inc,Retail,BFAM,US1091941005,10.81671742,0.803231597,#N/A N/A,39.08217416,7.721728423,2.65,10.89689975,5692286044,1.509433962,#N/A,21.95757,0,13.17996152,44.8,787
BG,Bunge,"Food, Beverage & Tobacco",BG,BMG169621056,-26.16461158,0.561117053,#N/A N/A,46.98089414,1.568842099,0.9,7.298671478,10004287244,-27.66592095,#N/A,3.96351,1.76,8.741393,47.2,670
BGCP,BGC Partners Inc,Capital Markets,BGCP,US05541T1016,1.765194955,1.169357896,#N/A N/A,30.4379999,4.38708376,0.18,14.66078406,5939713263,14.83253589,#N/A,12.33287,0.7,-5.069220191,43.65,817
BHGE,Baker Hughes,Energy Equipment & Services,BHGE,US05722G1004,-1.337253065,0.928349793,#N/A N/A,51.39723178,1.068743476,-0.17,30.07008818,40224762271,417.961165,#N/A,-10.09954,17.85,#N/A N/A,51.76,303
BIIB,Biogen,Pharmaceuticals & Biotech,BIIB,US09062X1037,17.17233396,1.321256995,#N/A N/A,12.94800861,4.096379943,11.94,7.206868842,57573517793,-0.791484716,#N/A,5.788619,0,32.28600452,60.31,29
BIO,Bio-Rad Laboratories,Health Care Equipment & Services,BIO,US0905722072,3.72275665,0.912772834,#N/A N/A,75.11444654,1.866606953,4.12,4.44745408,8346729469,-6.055900621,#N/A,26.04484,0,4.318763211,48.22,606
BIVV,Bioverativ,Pharmaceuticals & Biotech,BIVV,US09075E1001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.29,31.67680865,#N/A N/A,1.831729277,#N/A,#N/A N/A,0,#N/A N/A,47.82,632
BK,Bank of New York Mellon,Capital Markets,BK,US0640581007,3.821208834,1.064644337,#N/A N/A,15.46946088,1.513923112,3.74,6.01633278,57790463915,0.141043724,#N/A,23.46011,0.86,8.673874968,54.57,173
BKD,Brookdale Senior Living,Health Care Providers,BKD,US1124631045,-10.98542715,0.868696213,#N/A N/A,#N/A N/A,1.370883396,-3.07,-4.618543776,1433052930,#N/A N/A,#N/A,-45.66145,0,-8.981961414,44.08,807
BKI,Black Knight,Real Estate,BKI,US09215C1053,9.22327961,#N/A N/A,#N/A N/A,55.2854403,4.613750606,2.06,2.495126706,7522872952,3.394625177,#N/A,#N/A N/A,0,#N/A N/A,46.68,697
BKU,BankUnited,Banks,BKU,US06652K1034,8.805821571,1.17515707,#N/A N/A,15.51085421,1.440483859,5.6,16.87759623,4364755152,14.2733937,#N/A,21.62669,0.84,9.718222617,48.53,584
BLK,BlackRock,Capital Markets,BLK,US09247X1019,#N/A N/A,1.172800303,#N/A N/A,22.74975562,#N/A N/A,30.65,11.97669207,86562421434,0.762405814,#N/A,43.76102,10,11.34920299,53.84,204
BLL,Ball Corp,Building Materials & Packaging,BLL,US0584981064,6.020761204,0.835867941,#N/A N/A,21.80777875,3.374127056,1.07,21.21178678,13571494107,4.669061057,#N/A,-2.083237,0.365,34.16554793,55.38,143
BMRN,BioMarin Pharmaceutical,Pharmaceuticals & Biotech,BMRN,US09061G1013,-3.602860006,1.408881903,#N/A N/A,#N/A N/A,5.623704385,-0.67,17.62020819,15791101739,2.912621359,#N/A,-0.7331697,0,-11.21896471,50.5,405
BMS,Bemis Co,Building Materials & Packaging,BMS,US0814371052,5.066019506,0.851246536,#N/A N/A,17.92279855,3.188160311,1.03,1.043851763,3946591804,1.014370245,#N/A,-0.8778896,1.2,17.06705563,52.72,251
BMY,Bristol-Myers Squibb,Pharmaceuticals & Biotech,BMY,US1101221083,2.557174405,0.999068975,#N/A N/A,15.53849278,6.554916092,0.61,6.943943995,83884677118,0.333333333,#N/A,-4.537328,1.57,25.93053714,60.07,32
BOH,Bank of Hawaii,Banks,BOH,US0625401098,9.866800379,1.036613107,#N/A N/A,18.65097588,2.89745588,4.37,5.184030963,3592278024,0.681973176,#N/A,6.67803,2.04,15.17817079,52.25,275
